1d6,1d6,1d6
1,1,1:〈我慢比べのワンド〉⇒『ＥＴ』127頁／700G
2,1,1:〈我慢比べのワンド〉⇒『ＥＴ』127頁／700G
3,1,1:〈我慢比べのワンド〉⇒『ＥＴ』127頁／700G
1,1,2:〈気になる案山子Ⅰ〉⇒『ＥＴ』131頁／777G
2,1,2:〈気になる案山子Ⅰ〉⇒『ＥＴ』131頁／777G
3,1,2:〈気になる案山子Ⅰ〉⇒『ＥＴ』131頁／777G
1,1,3:〈ミスティックインク〉⇒『ＥＴ』131頁／800G
2,1,3:〈ミスティックインク〉⇒『ＥＴ』131頁／800G
3,1,3:〈ミスティックインク〉⇒『ＥＴ』131頁／800G
1,1,4:〈スネークアロー〉⇒『ＥＴ』122頁／900G
2,1,4:〈スネークアロー〉⇒『ＥＴ』122頁／900G
3,1,4:〈スネークアロー〉⇒『ＥＴ』122頁／900G
1,1,5:〈ウォールベース〉⇒『ＥＴ』131頁／900G
2,1,5:〈ウォールベース〉⇒『ＥＴ』131頁／900G
3,1,5:〈ウォールベース〉⇒『ＥＴ』131頁／900G
1,1,6:〈スマルティエの増強の腕輪（能力値無作為）〉⇒『ＥＴ』145頁／900G
2,1,6:〈スマルティエの増強の腕輪（能力値無作為）〉⇒『ＥＴ』145頁／900G
3,1,6:〈スマルティエの増強の腕輪（能力値無作為）〉⇒『ＥＴ』145頁／900G
1,2,1:〈熱狂の酒〉⇒『ＥＴ』126頁／980G
2,2,1:〈熱狂の酒〉⇒『ＥＴ』126頁／980G
3,2,1:〈熱狂の酒〉⇒『ＥＴ』126頁／980G
1,2,2:〈フェアリードロップ〉⇒『ＥＴ』128頁／1,000G
2,2,2:〈フェアリードロップ〉⇒『ＥＴ』128頁／1,000G
3,2,2:〈フェアリードロップ〉⇒『ＥＴ』128頁／1,000G
1,2,3:〈マギスフィア（大）〉⇒『ＥＴ』108頁／1,000G
2,2,3:〈マギスフィア（大）〉⇒『ＥＴ』108頁／1,000G
3,2,3:〈マギスフィア（大）〉⇒『ＥＴ』108頁／1,000G
1,2,4:〈オートルーター〉⇒『ＥＴ』131頁／1,000G
2,2,4:〈オートルーター〉⇒『ＥＴ』131頁／1,000G
3,2,4:〈オートルーター〉⇒『ＥＴ』131頁／1,000G
1,2,5:〈北向きの針〉⇒『ＥＴ』131頁／1,000G
2,2,5:〈北向きの針〉⇒『ＥＴ』131頁／1,000G
3,2,5:〈北向きの針〉⇒『ＥＴ』131頁／1,000G
1,2,6:〈望遠鏡〉⇒『ＥＴ』131頁／1,000G
2,2,6:〈望遠鏡〉⇒『ＥＴ』131頁／1,000G
3,2,6:〈望遠鏡〉⇒『ＥＴ』131頁／1,000G
1,3,1:〈マギトーチ〉⇒『ＥＴ』131頁／1,000G
2,3,1:〈マギトーチ〉⇒『ＥＴ』131頁／1,000G
3,3,1:〈マギトーチ〉⇒『ＥＴ』131頁／1,000G
1,3,2:〈メッセージルージュ〉⇒『ＥＴ』136頁／1,000G
2,3,2:〈メッセージルージュ〉⇒『ＥＴ』136頁／1,000G
3,3,2:〈メッセージルージュ〉⇒『ＥＴ』136頁／1,000G
